date;open;high;low;close;volume
02/05/2005;2,527;2,529;2,508;2,5085;3776
04/05/2005;2,488;2,489;2,461;2,4644;5200
05/05/2005;2,465;2,487;2,46;2,462;4088
06/05/2005;2,462;2,47;2,454;2,456;4176
09/05/2005;2,456;2,464;2,447;2,449;4336
10/05/2005;2,445;2,479;2,445;2,4755;3008
12/05/2005;2,451;2,472;2,451;2,466;4336
13/05/2005;2,468;2,486;2,463;2,471;3448
16/05/2005;2,473;2,484;2,471;2,4755;3776
17/05/2005;2,474;2,4875;2,468;2,479;5456
19/05/2005;2,458;2,459;2,442;2,4565;5216
20/05/2005;2,441;2,457;2,44;2,4407;5408
23/05/2005;2,441;2,442;2,425;2,4255;2976
24/05/2005;2,424;2,436;2,424;2,427;3376
25/05/2005;2,423;2,43;2,403;2,4078;3112
30/05/2005;2,381;2,392;2,364;2,369;3528
31/05/2005;2,367;2,421;2,367;2,407;5448
01/06/2005;2,388;2,455;2,388;2,455;5368
02/06/2005;2,457;2,457;2,413;2,417;3848
03/06/2005;2,417;2,429;2,39;2,4245;2824
06/06/2005;2,425;2,477;2,4044;2,4455;4992
07/06/2005;2,447;2,471;2,44;2,4625;3728
08/06/2005;2,455;2,463;2,44;2,4622;3112
09/06/2005;2,462;2,503;2,457;2,4955;4688
10/06/2005;2,49;2,494;2,466;2,4705;2928
14/06/2005;2,45;2,478;2,428;2,4315;3264
15/06/2005;2,434;2,451;2,428;2,4325;3568
17/06/2005;2,403;2,406;2,382;2,3845;4736
20/06/2005;2,366;2,396;2,366;2,3915;2768
21/06/2005;2,388;2,395;2,372;2,372;4816
22/06/2005;2,369;2,383;2,362;2,3815;4736
23/06/2005;2,386;2,402;2,382;2,388;3048
24/06/2005;2,404;2,404;2,377;2,3785;4576
29/06/2005;2,364;2,37;2,349;2,354;5136
01/07/2005;2,335;2,357;2,33;2,355;5456
04/07/2005;2,338;2,377;2,338;2,365;4088
05/07/2005;2,368;2,378;2,359;2,375;4976
06/07/2005;2,377;2,397;2,375;2,393;4496
07/07/2005;2,389;2,404;2,374;2,3745;3648
08/07/2005;2,371;2,381;2,357;2,3725;3728
12/07/2005;2,338;2,341;2,327;2,3375;4416
13/07/2005;2,336;2,355;2,331;2,353;4976
15/07/2005;2,335;2,351;2,33;2,335;3368
18/07/2005;2,337;2,34;2,325;2,3345;4416
19/07/2005;2,335;2,348;2,335;2,3415;3136
21/07/2005;2,337;2,3595;2,325;2,3545;4128
22/07/2005;2,364;2,397;2,358;2,395;3768
25/07/2005;2,395;2,478;2,395;2,461;4004
26/07/2005;2,486;2,509;2,434;2,448;4484
27/07/2005;2,431;2,479;2,419;2,4375;4544
28/07/2005;2,436;2,446;2,398;2,4045;5168
29/07/2005;2,407;2,412;2,377;2,379;3368
02/08/2005;2,369;2,385;2,337;2,34;5368
03/08/2005;2,337;2,341;2,306;2,309;3368
04/08/2005;2,317;2,326;2,293;2,303;4168
05/08/2005;2,301;2,32;2,287;2,3065;4848
08/08/2005;2,312;2,33;2,296;2,3271;4240
10/08/2005;2,295;2,295;2,269;2,293;4008
11/08/2005;2,277;2,364;2,277;2,3435;4304
12/08/2005;2,356;2,401;2,346;2,372;3764
15/08/2005;2,372;2,377;2,328;2,345;2844
16/08/2005;2,327;2,361;2,32;2,33;3164
17/08/2005;2,345;2,362;2,339;2,352;3128
18/08/2005;2,349;2,391;2,341;2,3785;2824
19/08/2005;2,403;2,478;2,379;2,4485;3052
22/08/2005;2,448;2,451;2,381;2,3825;2984
23/08/2005;2,372;2,424;2,372;2,4075;5488
25/08/2005;2,451;2,451;2,395;2,3955;4528
26/08/2005;2,399;2,429;2,386;2,4;3404
30/08/2005;2,383;2,394;2,377;2,3825;5376
31/08/2005;2,378;2,384;2,353;2,354;3048
01/09/2005;2,354;2,37;2,352;2,3615;4576
05/09/2005;2,329;2,34;2,317;2,332;3448
06/09/2005;2,331;2,337;2,319;2,323;4496
07/09/2005;2,319;2,329;2,319;2,323;5152
08/09/2005;2,328;2,329;2,313;2,3185;3616
12/09/2005;2,309;2,326;2,309;2,3195;3776
13/09/2005;2,319;2,332;2,315;2,325;4496
14/09/2005;2,325;2,339;2,324;2,326;4656
15/09/2005;2,318;2,327;2,295;2,297;3448
16/09/2005;2,294;2,305;2,288;2,297;4976
19/09/2005;2,297;2,308;2,285;2,2935;3408
20/09/2005;2,297;2,301;2,265;2,298;2844
21/09/2005;2,295;2,299;2,271;2,2725;5376
22/09/2005;2,273;2,292;2,265;2,2735;4288
23/09/2005;2,273;2,278;2,263;2,2635;3296
26/09/2005;2,263;2,27;2,247;2,249;5136
27/09/2005;2,248;2,262;2,244;2,2565;4416
29/09/2005;2,235;2,243;2,209;2,211;3528
30/09/2005;2,21;2,234;2,21;2,2285;4736
03/10/2005;2,227;2,247;2,225;2,2275;3488
04/10/2005;2,228;2,26;2,228;2,258;5456
05/10/2005;2,261;2,28;2,259;2,2665;2928
06/10/2005;2,266;2,302;2,266;2,2915;3728
10/10/2005;2,248;2,248;2,232;2,237;3376
11/10/2005;2,238;2,243;2,232;2,232;5152
13/10/2005;2,233;2,28;2,233;2,256;2844
14/10/2005;2,257;2,27;2,24;2,2435;3728
17/10/2005;2,244;2,244;2,228;2,236;3856
